video_id,title,channel_id,channel_title,published_at,description,duration,view_count,like_count,comment_count
dWbC_qp8FPs,New Music Spray #valorant #summit,UCOri0zqQh1uPwSOE2Pih9KQ,urnotjustin,2026-06-25T03:22:04Z,"LIKE AND SUBSCRIBE - New valorant capsule the Matchday Capsule showcase. What does Matchday spray do? Matchday music spray valorant 

#urnot 

Miss ya Autumn",PT12S,2652,80,6
lmVP5wG3tj4,발로란트 다음 요원 유출?!?!,UCtWnv62Bg8jx5p2weqWMxhQ,김버블,2026-06-25T03:00:38Z,"#발로 #발로란트 #쇼츠 #유출 

네 안녕하세요!! 대학교와서 하고 싶은거 다하는 김버블입니다!!
제 채널에 오신걸 환영하고 구독과 좋아요 한번만 눌러주시면... 저에게 큰 행복이!!",PT42S,538,5,3
39ELGgXqvk0,초특급 발로란트 미녀 등장ㅋㅋㅋㅋ,UCjOtzpfj5lF9erwTEQYkxtQ,t3xture 텍스쳐 ,2026-06-25T03:00:15Z,"💬 Please use YouTube’s auto-translate feature to watch in English!💬 

[팬카페] https://cafe.naver.com/t3xture
[생방송] https://www.sooplive.co.kr/t3xturekr

스트리밍 날짜 ✔ 2026년 06월 22일 
다시보기 채널 ✔ https://www.youtube.com/@t3xture_full
텍스쳐 세팅  ✔ 감도: 800 0.45 / 해상도 1920X1080 / 조준선 안쪽선 1/3/2/2
세팅 (자세히보기) ✔ https://ch.sooplive.co.kr/t3xturekr/post/139059295

#발로란트 #발로란트 #valorant 

 ▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
🎵Music provided by 브금대통령 
🎵Track : Une Petite Dispute - https://www.youtube.com/watch?v=NWITLjXsBj4
🎵Track : 참나 어이가없어서 - https://www.youtube.com/watch?v=sjMoahChxZo
🎵Track : 쳇바퀴 인생 - https://www.youtube.com/watch?v=jpo3kYQpTZs
🎵Track : I WANNA BE A ROCKSTAR - https://www.youtube.com/watch?v=ol7L7gNWfes
🎵Track : 햄스터의 모험 - https://www.youtube.com/watch?v=xfFzi-ryDVQ
🎵Track : Piggy Cake - https://www.youtube.com/watch?v=BOsYmetTil0
 ▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬",PT11M57S,3722,182,27
3k7gAnjopBc,#Outplayedtv 4 kills x WON #fyp ##valorantclips #ValorantPH #valorant #shorts,UCDXpSIu_aNIkbbvBnsedTLA,Mitzy A.,2026-06-25T02:49:54Z,,PT45S,231,0,0
ZVoQ7xZD6M8,LESS EXPLICA PORQUE KIKARAM SILENTZ! #valorant #shorts #lessvlr,UCEuOLYqiHuOPB6IYCykj2VQ,NesKy,2026-06-25T02:45:11Z,"Se você considera me ajudar no meu ""trabalho"", irei ficar grato!! Qual quer valor já é bem vindo!! PIX:
https://livepix.gg/nesky
 
SOCIAIS:Twitch: https://www.twitch.tv/neskygg
Instagram: https://www.instagram.com/neskygg/
Twitter: https://twitter.com/neskygg
Tiktok: https://www.tiktok.com/neskygg
Discord: NesKy_

LESS EXPLICA PORQUE KIKARAM SILENTZ! #valorant #shorts #lessvlr",PT1M6S,697,0,4
IPKTv8CpDRg,ODIN GO BRRRR  #aim #valorant #valorantradiantaim,UCN-i5xdfExDh0jBSPJfCZMQ,S1ay3rr,2026-06-25T02:18:38Z,#aim #valorant #valorantradiantaim #valorantclips #radiant,PT25S,706,4,0
KJ_k46mqNpI,【 Splatoon3 】神ルールだったからそりゃやるしかないか【にじさんじ/獅子堂あかり】,UCWRPqA0ehhWV4Hnp27PJCkQ,獅子堂 あかり / Shishido Akari【にじさんじ】,2026-06-25T01:37:40Z,"にじさんじ所属ぴかぴかの引きこもりニート獅子堂あかりです。


꙳✧˖°⋈ ໒꒱⌖꙳✧˖°⌖꙳✧˖°⋈ ໒꒱⌖꙳✧˖°⋈ ໒꒱⌖꙳✧˖°⌖꙳✧˖°⋈ ໒꒱⌖꙳✧˖°

ぴっかぴかのにじさんじ所属バーチャルライバー獅子堂あかりです。
未熟なふつつかものですがこれからよろしくお願いします。

↓あかりのTwitterはコチラ
https://twitter.com/44do_akari

↓Twich(よくVALORANTしてるよ)
https://www.twitch.tv/shishidoakari

フォローしてね！
YouTubeのチャンネル登録、通知on、高評価お願いします！！


メンバーシップ（月額490円）はこちらから👇
https://www.youtube.com/channel/UCWRPqA0ehhWV4Hnp27PJCkQ/join

みんなで一緒に楽しもう！(気分屋不定期)
【特典①】メンバー限定の歌枠(月１目標)
【特典②】一緒に飲もう！飲酒雑談！(まれに)(普通の雑談もまれに)
【特典③】メンバー参加型のゲーム配信(月１目標)
【特典④】同時視聴(気分)
【特典⑤】限定スタンプ・バッチの使用


꙳✧˖°⋈ ໒꒱⌖꙳✧˖°⌖꙳✧˖°⋈ ໒꒱⌖꙳✧˖°⋈ ໒꒱⌖꙳✧˖°⌖꙳✧˖°⋈ ໒꒱⌖꙳✧˖°

ボイス
販売ページはこちら▼
https://shop.nijisanji.jp/s/niji/item/detail/dig-01250?ima=2516


【Welcome Goods＆Voice販売中！！】
https://shop.nijisanji.jp/s/niji/item/list?ima=2403&tag=TAG_181


꙳✧˖°⋈ ໒꒱⌖꙳✧˖°⌖꙳✧˖°⋈ ໒꒱⌖꙳✧˖°⋈ ໒꒱⌖꙳✧˖°⌖꙳✧˖°⋈ ໒꒱⌖꙳✧˖°


　ハッシュタグ

　ファンマーク　　：🐱💫
　ファンネーム　　：飼い主候補
　配信タグ　　　　：#あかりーむ
　ファンアートタグ：#獅子どろーいんぐ
　ボイスタグ　　　：#あかりっすん
    サムネイルタグ    ：#獅子堂これ堂
　エゴサタグ　　　：#あかりさーち 


☆あかりからのお願い

・コメント欄で喧嘩をしないこと！コメント同士の会話もほどほどにね！
・配信に関係のない話題・他のライバー様の名前はなるべく控えてください！
・求めていない指示・指摘・ネタバレを行わないように気を付けてね！
・荒らし・迷惑なコメント・スパムに反応しないで！無視してね！
・他の配信者さんの配信であかりの名前を出さないこと！
・他の配信者さんやリスナーさんに迷惑をかける行動をしないこと！(伝書鳩等)

・上記を気づかずやってしまう人がいても、指摘や注意などはせずそっとしておいてください。

みんなでマナーを守って楽しんでくれると嬉しいです。

꙳✧˖°⋈ ໒꒱⌖꙳✧˖°⌖꙳✧˖°⋈ ໒꒱⌖꙳✧˖°⋈ ໒꒱⌖꙳✧˖°⌖꙳✧˖°⋈ ໒꒱⌖꙳✧˖°



ママ：遠坂あさぎ様
https://twitter.com/asagi_0398/media


🌟Special Thanks🌟

BGM
https://www.youtube.com/@SafuWorks

使用させていただきましたbgmや素材

https://www.youtube.com/@Neruson_F/about

https://sozaino.site

トーマス大森音楽工房　様
https://www.youtube.com/c/FreeMusicThomasOomori

꙳✧˖°⋈ ໒꒱⌖꙳✧˖°⌖꙳✧˖°⋈ ໒꒱⌖꙳✧˖°⋈ ໒꒱⌖꙳✧˖°⌖꙳✧˖°⋈ ໒꒱⌖꙳✧˖°


※未成年者の視聴者の方々は、下記リンク先の注意事項もご覧ください。
https://www.anycolor.co.jp/notice-for-minors",P0D,10092,802,0
dpmicsp9u8w,ADG vs AXG | FLY vs D1 | VALORANT Challengers NA | W4 D1 | Regular Phase | Stage 3,UC_l3b2l822SSWaoA7DLXTiQ,VALORANT Challengers Americas,2026-06-25T01:36:10Z,"Games of the Day
ADG vs AXG
FLY vs D1

The race for Playoffs is heating up.


Connect with Challengers NA Esports:
X/Twitter: http://x.com/valesportsna 
Tik Tok: http://tiktok.com/@valesportsna 
Instagram: http://instagram.com/valesportsna 
Twitch: http://twitch.tv/valorant_northamerica 
YouTube: http://youtube.com/@VALORANTChallengersAmericas 
Official VALORANT Esports News: http://valorantesports.com/news 
Web: http://valorantesports.com
#vct 
#VALORANT",PT5H43M34S,10669,83,0
KXFAm77Fqsc,來吧走起🔥 #valorant #特戰英豪,UClhaRX398sIJ13Cmy00wzVA,我是韋韋,2026-06-25T01:04:11Z,,PT47S,790,23,0
UcuIRSrQSao,from mooda clone to adildo 😭💔 #valorant #valorantfunny #gaming #adilswrld,UCIGdEoFOsZsjoqpMl0vhvHA,Adilswrld,2026-06-25T00:17:43Z,,PT19S,2582,139,9
